snapshot_minute,feature,winner_median,nonwinner_median,difference_winner_minus_nonwinner,winner_75pct,nonwinner_75pct
5,upgrades_to_now,6.0,5.0,1.0,8.0,9.0
5,kills_to_now,0.0,0.0,0.0,0.0,0.0
5,losses_to_now,1.0,1.0,0.0,1.0,2.0
5,structures_done_to_now,2.0,2.0,0.0,2.0,3.0
5,static_defense_to_now,0.0,0.0,0.0,0.0,0.0
5,walls_gates_to_now,0.0,0.0,0.0,0.0,0.0
5,cavalry_to_now,1.0,1.0,0.0,1.0,1.0
5,ranged_to_now,0.0,0.0,0.0,0.0,0.0
5,infantry_to_now,0.0,0.0,0.0,0.0,0.0
5,siege_to_now,0.0,0.0,0.0,0.0,0.0
5,units_born_to_now,18.5,19.0,-0.5,21.0,21.0
10,units_born_to_now,36.0,34.0,2.0,41.0,45.0
10,static_defense_to_now,1.0,0.0,1.0,3.0,1.0
10,upgrades_to_now,8.0,7.0,1.0,10.0,12.0
10,structures_done_to_now,7.5,7.0,0.5,10.0,9.25
10,kills_to_now,0.0,0.0,0.0,0.0,0.0
10,walls_gates_to_now,0.0,0.0,0.0,0.0,0.0
10,cavalry_to_now,1.0,1.0,0.0,1.0,1.0
10,ranged_to_now,0.0,0.0,0.0,0.0,0.0
10,siege_to_now,0.0,0.0,0.0,0.0,0.0
10,infantry_to_now,2.0,2.5,-0.5,6.25,10.0
10,losses_to_now,3.0,4.0,-1.0,4.25,7.0
15,units_born_to_now,60.0,58.5,1.5,70.5,80.25
15,ranged_to_now,1.5,0.0,1.5,6.25,4.0
15,static_defense_to_now,2.0,1.0,1.0,5.25,3.0
15,kills_to_now,0.0,0.0,0.0,0.0,0.0
15,structures_done_to_now,12.0,12.0,0.0,17.25,15.0
15,walls_gates_to_now,0.0,0.0,0.0,2.0,0.0
15,cavalry_to_now,1.0,1.0,0.0,7.25,1.0
15,siege_to_now,0.0,0.0,0.0,0.0,0.0
15,upgrades_to_now,11.0,11.0,0.0,13.25,15.0
15,losses_to_now,10.5,11.0,-0.5,21.0,23.25
15,infantry_to_now,7.5,10.0,-2.5,17.75,29.0
20,units_born_to_now,92.5,81.0,11.5,111.0,121.25
20,ranged_to_now,8.0,1.5,6.5,10.5,9.25
20,static_defense_to_now,3.5,2.0,1.5,8.25,7.0
20,structures_done_to_now,17.0,16.0,1.0,24.0,23.0
20,upgrades_to_now,14.0,13.5,0.5,19.0,19.0
20,kills_to_now,0.0,0.0,0.0,0.0,0.0
20,walls_gates_to_now,0.0,0.0,0.0,3.25,2.0
20,cavalry_to_now,1.0,1.0,0.0,13.25,3.0
20,siege_to_now,0.0,0.0,0.0,0.0,0.0
20,losses_to_now,24.5,26.0,-1.5,46.0,50.0
20,infantry_to_now,16.5,19.0,-2.5,33.25,50.5
25,units_born_to_now,128.0,102.0,26.0,146.5,144.25
25,ranged_to_now,9.0,4.0,5.0,18.75,14.0
25,structures_done_to_now,22.5,18.0,4.5,30.0,26.0
25,static_defense_to_now,5.5,2.0,3.5,11.0,9.25
25,kills_to_now,0.0,0.0,0.0,0.0,0.0
25,walls_gates_to_now,0.0,0.0,0.0,7.75,3.0
25,cavalry_to_now,1.0,1.0,0.0,26.75,8.0
25,siege_to_now,0.0,0.0,0.0,0.0,0.0
25,upgrades_to_now,16.5,17.0,-0.5,26.25,23.0
25,infantry_to_now,26.0,30.0,-4.0,52.25,61.25
25,losses_to_now,45.0,51.0,-6.0,73.75,84.25
30,units_born_to_now,163.5,119.5,44.0,218.0,181.0
30,losses_to_now,91.5,77.5,14.0,115.0,131.0
30,ranged_to_now,15.0,5.5,9.5,27.75,19.25
30,structures_done_to_now,26.5,21.0,5.5,35.25,28.25
30,static_defense_to_now,6.0,3.0,3.0,15.5,10.25
30,cavalry_to_now,3.5,1.0,2.5,44.75,10.0
30,upgrades_to_now,21.0,18.5,2.5,32.0,24.0
30,kills_to_now,0.0,0.0,0.0,0.0,0.0
30,walls_gates_to_now,0.0,0.0,0.0,11.0,3.25
30,siege_to_now,0.0,0.0,0.0,1.25,0.0
30,infantry_to_now,34.0,39.0,-5.0,77.0,73.25
45,units_born_to_now,241.0,142.5,98.5,349.25,269.0
45,ranged_to_now,32.0,7.0,25.0,64.75,27.0
45,losses_to_now,136.5,116.5,20.0,204.25,205.0
45,cavalry_to_now,13.0,1.0,12.0,65.25,15.0
45,upgrades_to_now,29.5,20.0,9.5,42.0,27.0
45,structures_done_to_now,31.5,22.5,9.0,46.5,32.25
45,static_defense_to_now,7.0,3.0,4.0,19.25,13.0
45,siege_to_now,3.0,0.0,3.0,17.5,1.25
45,infantry_to_now,48.0,47.5,0.5,106.75,100.0
45,kills_to_now,0.0,0.0,0.0,1.25,0.0
45,walls_gates_to_now,0.0,0.0,0.0,11.0,4.0
60,units_born_to_now,265.0,142.5,122.5,423.0,293.0
60,losses_to_now,165.5,124.0,41.5,308.25,233.5
60,ranged_to_now,45.5,7.0,38.5,83.25,28.25
60,cavalry_to_now,17.0,1.0,16.0,65.25,15.0
60,structures_done_to_now,35.5,23.0,12.5,49.25,33.0
60,upgrades_to_now,31.0,20.0,11.0,42.0,27.0
60,siege_to_now,7.0,0.0,7.0,56.5,2.25
60,static_defense_to_now,7.0,3.0,4.0,19.75,13.0
60,infantry_to_now,49.0,47.5,1.5,130.0,100.0
60,kills_to_now,0.0,0.0,0.0,3.0,0.25
60,walls_gates_to_now,0.0,0.0,0.0,11.0,4.0
