apm,camera_events,castles,cavalry_units,chat_messages,commands,control_groups,duration_seconds,econ_structures,first_castle_minute,first_cavalry_minute,first_econ_structure_minute,first_infantry_minute,first_prod_structure_minute,first_ranged_minute,first_siege_minute,first_static_defense_minute,first_upgrade_minute,first_wall_gate_minute,infantry_units,kills,kl_ratio,leave_seconds,losses,map_name,name,pings,player_id,player_index,production_structures,ranged_units,replay_id,result,role_label,siege_units,source_name,static_defense,structures_done,team_id,units_born,upgrades,walls_gates
2.9,1822,0,15,11,57,15,1168,11,,0.767,2.217,,5.583,,,6.95,0.0,6.95,0,28,0.528,1168,53,Age of Knights,shermanator,0,1,0,9,0,6843f0df48c00171,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,7,25,0,57,9,7
4.8,1622,0,1,7,93,1,1168,6,,0.767,1.5,8.55,8.067,,,,0.0,,19,22,0.349,1069,63,Age of Knights,Naian,0,2,1,4,0,6843f0df48c00171,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,9,0,64,8,0
9.8,1601,0,1,0,191,1355,1168,7,,0.767,1.7,6.35,5.25,8.633,,3.7,0.0,,81,173,2.11,,82,Age of Knights,Swarm,0,3,2,9,16,6843f0df48c00171,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,1,16,1,142,13,0
3.9,1300,0,1,1,76,0,1168,7,,0.767,1.433,4.45,3.817,,,,0.0,,62,86,1.87,,46,Age of Knights,Sighbull,0,4,3,5,0,6843f0df48c00171,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,11,1,109,11,0
0.0,0,0,1,0,0,0,1168,9,,0.767,1.283,5.533,5.167,10.883,,,4.35,,64,85,0.556,,153,Age of Knights,Player 5,0,5,4,6,8,6843f0df48c00171,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,14,0,137,4,0
0.0,0,0,1,0,0,0,1168,10,,0.767,1.217,5.233,4.8,14.483,,,4.35,,85,89,0.478,,186,Age of Knights,Player 6,0,6,5,9,12,6843f0df48c00171,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,18,0,181,4,0
0.0,0,0,1,0,0,0,1168,11,,0.767,1.217,5.233,4.917,13.283,,,4.35,,88,103,1.373,,75,Age of Knights,Player 7,0,7,6,9,12,6843f0df48c00171,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,19,1,181,4,0
0.0,0,0,1,0,0,0,1168,10,,0.767,1.283,7.333,7.017,10.283,,,4.35,,80,63,0.84,,75,Age of Knights,Player 8,0,8,7,8,16,6843f0df48c00171,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,17,1,172,4,0
3.5,8401,15,439,33,268,177,4642,20,31.433,1.35,2.017,,5.883,32.883,53.267,8.467,0.0,8.467,0,1329,2.08,4642,639,Age of Knights,shermanator,0,1,0,34,156,4cc0fa2abca29384,Win,Cavalry pressure / mobile carry,140,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,44,79,0,717,27,21
1.0,1491,0,20,25,74,1,4642,7,,1.35,5.717,10.25,7.9,23.817,,3.1,1.367,,24,60,0.789,2116,76,Age of Knights,kris,0,2,1,5,9,4cc0fa2abca29384,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,3,14,0,79,3,0
3.6,3370,1,1,1,281,11,4642,22,55.733,1.35,2.117,18.867,9.15,26.533,,10.067,0.0,,25,270,0.547,3872,494,Age of Knights,Somchaii,0,3,2,28,261,4cc0fa2abca29384,Undecided,Ranged firepower/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,6,50,1,441,17,0
3.9,6068,1,61,22,302,6,4642,12,41.983,1.35,3.083,11.0,5.6,14.767,,14.7,1.367,,342,566,0.92,4565,615,Age of Knights,SnoopyWoopy,0,4,3,17,100,4cc0fa2abca29384,Loss,Infantry + hand-cannon frontline,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,2,26,1,586,29,0
0.0,0,0,1,0,0,0,4642,21,,1.35,1.95,5.683,5.333,14.783,37.15,,4.95,,479,555,0.955,,581,Age of Knights,Player 5,0,5,4,12,59,4cc0fa2abca29384,Win,Mass-production support,2,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,0,32,0,776,5,0
0.0,0,0,1,0,0,0,4642,18,,1.35,1.95,5.833,5.483,15.083,24.55,,4.95,,355,483,0.953,,507,Age of Knights,Player 6,0,6,5,12,83,4cc0fa2abca29384,Win,Mass-production support,13,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,0,29,0,671,6,0
0.0,0,0,1,0,0,0,4642,18,,1.35,1.867,5.833,5.4,28.733,34.6,,4.95,,555,580,0.549,,1057,Age of Knights,Player 7,0,7,6,12,98,4cc0fa2abca29384,Loss,Mass-production support,13,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,0,29,1,1023,6,0
0.0,0,0,1,0,0,0,4642,7,,1.35,1.933,6.133,5.75,16.733,,,4.95,,307,228,0.544,,419,Age of Knights,Player 8,0,8,7,11,4,4cc0fa2abca29384,Loss,Mass-production support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,0,17,1,399,4,0
4.4,2334,4,139,4,131,131,1800,14,18.2,0.6,1.5,,4.567,,,9.45,0.0,9.45,0,133,0.964,1800,138,Age of Knights,shermanator,0,1,0,14,0,1ef0d6fefa2acde5,Win,Cavalry pressure / mobile carry,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (12).SC2Replay,10,33,0,210,19,3
2.1,1319,1,1,0,64,0,1800,6,20.067,0.6,2.883,5.75,4.433,,,20.067,0.6,,35,27,1.038,,26,Age of Knights,DrRobot,0,2,1,5,0,1ef0d6fefa2acde5,Win,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (12).SC2Replay,1,10,0,78,16,0
6.5,2025,1,1,4,194,14,1800,8,16.083,0.6,2.067,7.55,5.217,25.2,25.2,14.95,0.0,,16,56,1.514,1799,37,Age of Knights,chikenbagelz,0,3,2,10,16,1ef0d6fefa2acde5,Win,Mixed/support,16,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (12).SC2Replay,6,22,0,95,27,0
9.9,2403,3,145,0,298,143,1800,15,20.367,0.6,1.267,,4.15,10.0,,4.333,0.0,,0,203,1.504,,135,Age of Knights,strife,0,4,3,11,8,1ef0d6fefa2acde5,Win,Cavalry pressure / mobile carry,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (12).SC2Replay,7,29,0,228,32,0
6.1,3179,0,1,4,182,7,1800,8,,0.6,2.65,15.55,8.45,10.983,,9.183,0.6,,41,29,0.218,1685,133,Age of Knights,Asklepius,0,5,4,10,25,1ef0d6fefa2acde5,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (12).SC2Replay,2,18,1,120,10,0
7.3,4367,3,1,3,218,53,1800,14,18.083,0.6,1.167,8.267,7.4,29.933,19.267,8.4,0.6,22.283,54,67,0.479,1796,140,Age of Knights,GrouNdZerO,0,6,5,9,1,1ef0d6fefa2acde5,Undecided,Mixed/support,3,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (12).SC2Replay,37,56,1,139,16,26
3.2,4454,1,1,0,95,0,1800,7,27.633,0.6,1.35,7.9,4.45,,,7.4,0.6,7.4,79,38,0.325,1783,117,Age of Knights,Smoggytag,0,7,6,7,0,1ef0d6fefa2acde5,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (12).SC2Replay,2,14,1,118,24,1
4.8,1883,0,1,11,144,0,1800,7,,0.6,2.717,5.9,4.45,25.05,25.15,8.317,0.0,11.217,51,100,1.02,1595,98,Age of Knights,KilledJoy,0,8,7,6,7,1ef0d6fefa2acde5,Undecided,Mixed/support,2,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (12).SC2Replay,14,26,1,103,29,8
4.4,4041,5,159,1,159,193,2193,16,17.8,0.45,1.4,,4.233,27.7,27.7,7.7,0.0,7.7,0,248,1.078,2193,230,Age of Knights,shermanator,0,1,0,16,45,003b05a190b91228,Win,Cavalry pressure / mobile carry,45,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (13).SC2Replay,11,36,0,297,27,3
8.0,1733,1,1,0,291,12,2193,8,22.117,0.45,2.25,8.383,2.25,18.483,30.65,10.433,0.0,,47,18,0.25,,72,Age of Knights,RaccoonGuyy,0,2,1,8,24,003b05a190b91228,Win,Mixed/support,9,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (13).SC2Replay,3,17,0,128,42,0
5.4,4553,1,1,2,197,0,2193,11,20.967,0.45,1.1,8.967,3.333,22.183,28.583,9.667,0.317,,128,239,1.637,2193,146,Age of Knights,Zergkilla,0,3,2,14,84,003b05a190b91228,Win,Siege-support player,76,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (13).SC2Replay,3,26,0,291,43,0
5.9,3247,1,1,1,216,128,2193,10,23.867,0.45,1.433,15.167,5.417,11.1,,9.9,0.0,10.433,51,51,0.739,2193,69,Age of Knights,MegaDuke,0,4,3,9,28,003b05a190b91228,Win,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (13).SC2Replay,30,46,0,141,49,17
0.1,73,0,15,0,2,0,2193,7,,0.45,4.15,,12.217,,,,0.0,,0,20,0.435,82,46,Age of Knights,DarkSouL,0,5,4,4,0,003b05a190b91228,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (13).SC2Replay,0,10,1,45,14,0
4.4,5771,1,1,1,162,0,2193,10,24.15,0.45,2.683,7.933,6.833,12.8,,24.15,0.317,27.917,74,102,0.423,2155,241,Age of Knights,Silkscorpion,0,6,5,9,109,003b05a190b91228,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (13).SC2Replay,14,31,1,249,28,13
4.4,2650,2,12,0,160,0,2193,6,21.6,0.45,3.967,6.95,2.633,15.817,16.883,11.817,0.0,,82,91,0.542,2150,168,Age of Knights,RubberDuckie,0,7,6,9,11,003b05a190b91228,Undecided,Mixed/support,9,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (13).SC2Replay,3,15,1,179,45,0
4.8,6278,1,20,0,176,0,2193,6,26.167,0.45,3.0,5.883,4.95,,,17.067,0.317,17.067,98,167,1.031,2188,162,Age of Knights,lictenstine,0,8,7,12,0,003b05a190b91228,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (13).SC2Replay,17,33,1,195,32,13
4.1,5629,12,232,12,228,251,3351,14,17.05,0.483,1.033,,3.367,31.95,31.95,6.433,0.0,6.433,0,139,0.471,3351,295,Age of Knights,shermanator,0,1,0,25,116,0cca3040eb9545a4,Win,Cavalry pressure / mobile carry,116,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (14).SC2Replay,25,50,0,438,30,11
4.2,4254,2,1,4,232,190,3351,15,32.367,0.483,1.45,6.983,4.667,9.883,,6.717,0.0,6.717,95,115,0.518,1973,222,Age of Knights,MegaDuke,0,2,1,13,89,0cca3040eb9545a4,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (14).SC2Replay,16,40,0,252,47,5
2.7,3639,0,9,0,152,0,3351,3,,0.483,1.567,7.467,4.917,9.617,34.917,9.483,0.367,9.483,24,193,1.949,3034,99,Age of Knights,Spanky,0,3,2,6,20,0cca3040eb9545a4,Undecided,Mixed/support,1,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (14).SC2Replay,16,24,1,80,31,12
2.6,4581,1,31,0,145,0,3351,11,22.317,0.483,3.5,12.867,8.567,11.983,38.85,15.083,0.367,,66,190,0.739,3026,257,Age of Knights,Jason,0,4,3,6,60,0cca3040eb9545a4,Undecided,Mixed/support,12,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (14).SC2Replay,2,17,1,239,24,0
0.0,0,0,1,0,0,0,3351,18,,0.483,1.0,4.783,4.5,12.383,32.5,,0.367,,197,55,0.294,,187,Age of Knights,Player 5,0,5,4,12,32,0cca3040eb9545a4,Win,Mass-production support,2,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (14).SC2Replay,0,29,0,377,6,0
0.0,0,0,0,0,0,0,3351,0,,,,,,,,,,,0,0,,,0,Age of Knights,Player 7,0,6,5,0,0,0cca3040eb9545a4,Loss,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (14).SC2Replay,0,0,1,0,0,0
17.4,1714,1,1,2,420,252,1447,18,18.733,0.633,1.333,4.8,4.217,12.867,19.7,18.733,0.65,,93,88,1.205,,73,Age of Knights,TheRealNoima,0,1,0,10,34,d17c2d2501990384,Undecided,Mixed/support,4,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (15).SC2Replay,1,26,0,211,25,0
5.3,1850,2,71,3,127,98,1447,9,15.833,0.633,1.733,,3.583,,,8.367,0.0,8.367,0,46,0.451,1447,102,Age of Knights,shermanator,0,2,1,8,0,d17c2d2501990384,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (15).SC2Replay,15,28,1,129,13,10
4.0,6818,3,267,3,213,303,3203,13,14.617,0.517,1.767,,3.8,16.65,41.55,14.617,0.0,,0,642,1.2,3203,535,Age of Knights,shermanator,0,1,0,18,165,67591a9b6aaafcf8,Undecided,Cavalry pressure / mobile carry,120,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (16).SC2Replay,6,32,0,550,31,0
3.6,2926,1,147,2,192,3,3203,7,14.833,0.517,1.833,,7.55,18.317,25.483,10.217,0.0,10.217,0,189,0.765,2438,247,Age of Knights,Skyblayde,0,2,1,15,95,67591a9b6aaafcf8,Undecided,Cavalry pressure / mobile carry,7,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (16).SC2Replay,8,27,0,230,29,5
4.5,5212,1,36,6,241,0,3203,18,31.433,0.517,2.65,11.633,6.183,7.4,,8.583,0.0,16.233,95,152,0.704,,216,Age of Knights,Smashmore,0,3,2,10,84,67591a9b6aaafcf8,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (16).SC2Replay,30,56,1,299,34,15
3.1,2924,1,21,1,168,0,3203,5,17.333,0.517,1.5,9.567,5.95,13.6,24.4,8.417,0.0,8.417,55,81,0.448,2549,181,Age of Knights,Bushi,0,4,3,6,24,67591a9b6aaafcf8,Undecided,Mixed/support,3,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (16).SC2Replay,28,37,0,160,27,23
