castles,cavalry_units,commands,duration_seconds,econ_structures,infantry_units,kills,kl_ratio,losses,map_name,players,production_structures,ranged_units,replay_id,result,siege_units,source_name,static_defense,structures_done,style_label,team_id,units_born,upgrades,walls_gates
0,18,150,1168,36,168,224,0.492,455,Age of Knights,"shermanator, Naian, Player 5, Player 6",28,20,6843f0df48c00171,Undecided,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,7,66,Infantry-frontline-heavy team,0,439,25,7
0,4,267,1168,35,311,425,1.529,278,Age of Knights,"Swarm, Sighbull, Player 7, Player 8",31,44,6843f0df48c00171,Undecided,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,1,63,Infantry-frontline-heavy team,1,604,32,0
15,461,342,4642,66,858,2427,1.346,1803,Age of Knights,"shermanator, kris, Player 5, Player 6",63,307,4cc0fa2abca29384,Win,155,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,47,154,Infantry-frontline-heavy team,0,2243,41,21
2,64,583,4642,59,1229,1644,0.636,2585,Age of Knights,"Somchaii, SnoopyWoopy, Player 7, Player 8",68,463,4cc0fa2abca29384,Loss,13,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (11).SC2Replay,8,122,Infantry + firepower frontline team,1,2449,56,0
9,286,687,1800,43,51,419,1.247,336,Age of Knights,"shermanator, DrRobot, chikenbagelz, strife",40,24,1ef0d6fefa2acde5,Win,16,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (12).SC2Replay,24,94,Mobile cavalry-pressure team,0,611,94,3
4,4,639,1800,36,225,234,0.48,488,Age of Knights,"Asklepius, GrouNdZerO, Smoggytag, KilledJoy",32,33,1ef0d6fefa2acde5,Undecided,5,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (12).SC2Replay,55,114,Infantry-frontline-heavy team,1,480,79,35
8,162,863,2193,45,226,556,1.075,517,Age of Knights,"shermanator, RaccoonGuyy, Zergkilla, MegaDuke",47,181,003b05a190b91228,Win,130,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (13).SC2Replay,47,125,Mixed-composition team,0,857,161,20
4,48,500,2193,29,254,380,0.616,617,Age of Knights,"DarkSouL, Silkscorpion, RubberDuckie, lictenstine",34,120,003b05a190b91228,Undecided,9,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (13).SC2Replay,34,89,Infantry + firepower frontline team,1,668,119,26
14,234,460,3351,47,292,309,0.439,704,Age of Knights,"shermanator, MegaDuke, Player 5",50,237,0cca3040eb9545a4,Win,118,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (14).SC2Replay,41,119,Mixed-composition team,0,1067,83,16
1,40,297,3351,14,90,383,1.076,356,Age of Knights,"Spanky, Jason, Player 7",12,80,0cca3040eb9545a4,Loss,13,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (14).SC2Replay,18,41,Ranged/firepower-heavy team,1,319,55,12
1,1,420,1447,18,93,88,1.205,73,Age of Knights,TheRealNoima,10,34,d17c2d2501990384,Undecided,4,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (15).SC2Replay,1,26,Infantry + firepower frontline team,0,211,25,0
