cavalry_to_now,infantry_to_now,kills_to_now,losses_to_now,map_name,player_id,player_index,player_name,ranged_to_now,replay_id,result,siege_to_now,snapshot_minute,source_name,static_defense_to_now,structures_done_to_now,team_id,units_born_to_now,upgrades_to_now,walls_gates_to_now
1,0,0,0,Age of Knights,1,0,shermanator,0,6843f0df48c00171,Undecided,0,5,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,1,0,21,7,0
4,0,0,15,Age of Knights,1,0,shermanator,0,6843f0df48c00171,Undecided,0,10,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,7,13,0,32,8,7
4,0,1,42,Age of Knights,1,0,shermanator,0,6843f0df48c00171,Undecided,0,15,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,7,20,0,37,9,7
15,0,1,53,Age of Knights,1,0,shermanator,0,6843f0df48c00171,Undecided,0,20,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,7,25,0,57,9,7
15,0,1,53,Age of Knights,1,0,shermanator,0,6843f0df48c00171,Undecided,0,25,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,7,25,0,57,9,7
15,0,1,53,Age of Knights,1,0,shermanator,0,6843f0df48c00171,Undecided,0,30,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,7,25,0,57,9,7
15,0,1,53,Age of Knights,1,0,shermanator,0,6843f0df48c00171,Undecided,0,45,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,7,25,0,57,9,7
15,0,1,53,Age of Knights,1,0,shermanator,0,6843f0df48c00171,Undecided,0,60,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,7,25,0,57,9,7
1,0,0,0,Age of Knights,2,1,Naian,0,6843f0df48c00171,Undecided,0,5,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,1,0,21,6,0
1,3,0,4,Age of Knights,2,1,Naian,0,6843f0df48c00171,Undecided,0,10,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,5,0,34,8,0
1,19,0,61,Age of Knights,2,1,Naian,0,6843f0df48c00171,Undecided,0,15,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,7,0,56,8,0
